;;;;;Energia;Macronutrientes;;;A.G. Saturados;A.G. Insaturados;;;Fibra   ;;;Macrominerales;;;;;Oligoelementos;;;;;Vit. Liposolubles;;;;Vit. Hidrosolubles;;;;;;;;Verificacion;;;;;;;
Grupo alimentario;#;Alimento;Cantidad(g/mL);Medida casera;Kcal;CHO(g);Proteina(g);Grasa(g);A.G.S(g);A.G.M(g);A.G.P(g);Colesterol (mg);Fibra soluble;Fibra insoluble;Fibra total;Calcio(Ca)(mg);Fosforo(P)(mg);Sodio(Na)(mg);Potasio(K)(mg);Magnesio(Mg)(mg);Hierro(Fe)(mg);Zinc(Zn) (mg);Cobre(Cu)(mg);Manganeso(Mn)(mg);Selenio(Se)(mcg);Vit. E(mg);Vit.K(mcg);Vit.D(UI);Vit.A(ER); Vit.B1(mg);Vit.B2(mg);Vit.B3(mg);Vit.B5(mg);Vit.B6(mg);Vit.B9(mcg);Vit.B12(mcg);Vit.C(mg);Aprobado;;;;;;;
L16;16;Yogurt;115;1 vaso de 4 onzas;110;16,79;3,34;3,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;127,65;73,60;0,00;0,00;0,00;0,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,05;0,23;0,23;0,00;0,00;0,00;0,00;3,45;;;;;;;;
L17;17;Yogurt natural bajo en grasa;175;1 vaso de 6 onzas;110;12,25;9,28;2,80;1,75;0,75;0,07;10,50;0,00;0,00;0,00;320,25;252,00;122,50;409,50;29,75;0,18;1,56;0,02;0,00;5,78;0,07;0,00;0,00;28,00;0,07;0,37;0,18;1,03;0,09;19,25;0,98;1,75;;;;;;;;
L18;18;Yogurt con fruta bajo en grasa ;110;1 vaso de 4 onzas;110;21,01;4,84;1,21;0,77;0,33;0,03;4,40;0,00;0,00;0,00;167,20;130,90;63,80;213,40;16,50;0,11;0,81;0,00;0,00;3,08;0,03;0,00;0,00;0,04;0,04;0,20;0,11;0,54;0,04;9,90;0,52;1,10;;;;;;;;
;;;;Promedio;110;12,97;6,95;3,34;1,95;0,89;0,11;12,99;0,00;0,00;0,00;267,25;204,26;102,05;299,03;24,44;0,20;0,86;0,02;0,01;2,33;0,07;1,10;28,62;70,92;0,08;0,35;0,23;0,70;0,08;9,30;0,61;2,07;;;;;;;;
AP1;19;Huevo gallina entero;50;1 unidad pequeña;75;0,6;6,25;5,00;1,55;1,91;0,68;212,50;0,00;0,00;0,00;24,50;89,00;63,00;60,50;5,00;0,70;0,55;0,01;0,01;15,40;525,00;25,00;26,00;95,50;0,03;0,26;0,05;0,63;0,07;23,50;0,50;0,00;Revisado;;;;;;;
AP2;20;Queso entero duro;20;1 tajada delgada;75;0,4;5,00;6,22;3,84;1,74;0,33;23,20;0,00;0,00;0,00;160,00;120,00;160,00;12,80;2,80;0,16;0,70;0,01;0,00;0,00;0,00;0,00;0,00;58,00;0,00;0,04;0,04;0,09;0,02;1,20;0,34;0,00;;;;;;;;
AP3;21;Queso parmesano rallado;15;1/2 onza;75;0,6;6,24;4,50;2,86;1,31;0,10;11,85;0,00;0,00;0,00;206,40;121,05;279,30;16,05;7,65;0,15;0,48;0,01;0,00;3,93;0,12;0,00;4,20;25,95;0,01;0,06;0,05;0,08;0,02;1,20;0,21;0,00;;;;;;;;
AP4;22;Queso  semiblando de leche entera;25;1 tajada delgada;75;1,3;5,43;4,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;172,50;95,00;0,00;0,00;0,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;84,00;0,01;0,10;0,03;0,00;0,00;0,00;0,00;0,00;;;;;;;;
AP5;23;Queso semidescremado semiblando;50;1 tajada mediana;75;3,2;14,10;2,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;400,00;250,00;0,00;0,00;0,00;0,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,02;0,25;0,05;0,00;0,00;0,00;0,00;0,00;;;;;;;;
AP6;24;Cuajada;30;1 onza;75;1,8;4,68;5,40;0,99;0,36;0,06;7,50;0,00;0,00;0,00;147,00;81,00;46,50;94,50;5,40;0,45;0,11;0,00;0,00;0,00;0,00;0,00;0,00;14,40;0,01;0,14;0,02;0,00;0,00;3,60;0,00;0,00;;;;;;;;
