;;;;;Energia;Macronutrientes;;;A.G. Saturados;A.G. Insaturados;;;Fibra   ;;;Macrominerales;;;;;Oligoelementos;;;;;Vit. Liposolubles;;;;Vit. Hidrosolubles;;;;;;;;Verificacion;;;;;;;
Grupo alimentario;#;Alimento;Cantidad(g/mL);Medida casera;Kcal;CHO(g);Proteina(g);Grasa(g);A.G.S(g);A.G.M(g);A.G.P(g);Colesterol (mg);Fibra soluble;Fibra insoluble;Fibra total;Calcio(Ca)(mg);Fosforo(P)(mg);Sodio(Na)(mg);Potasio(K)(mg);Magnesio(Mg)(mg);Hierro(Fe)(mg);Zinc(Zn) (mg);Cobre(Cu)(mg);Manganeso(Mn)(mg);Selenio(Se)(mcg);Vit. E(mg);Vit.K(mcg);Vit.D(UI);Vit.A(ER); Vit.B1(mg);Vit.B2(mg);Vit.B3(mg);Vit.B5(mg);Vit.B6(mg);Vit.B9(mcg);Vit.B12(mcg);Vit.C(mg);Aprobado;;;;;;;
C39;67;Corazon de pollo;100;3 1/2 onzas aprox.;150;0,7;15,6;9,3;2,7;2,7;2,7;136,0;0,0;0,0;0,0;12,0;177,0;74,0;176,0;15,0;6,0;6,6;0,4;0,1;0,0;0,0;0,0;0,0;9,0;0,2;0,7;4,9;256,0;0,4;72,0;7,3;3,0;;;;;;;;
C40;68;Higado de pollo;120;1/4 libra;150;4,1;21,6;4,7;1,6;1,1;0,8;526,8;0,0;0,0;0,0;13,2;326,4;94,8;273,6;24,0;10,3;3,7;0,5;0,3;0,0;0,0;0,0;0,0;7398,0;0,2;2,4;11,2;7,4;0,9;885,6;27,6;40,8;;;;;;;;
C41;69;Molleja de pollo;125;1/4 libra;150;0,8;22,8;5,3;1,5;1,3;1,5;162,5;0,0;0,0;0,0;10,0;168,8;95,0;295,0;20,0;4,4;3,8;0,1;0,1;0,0;0,0;0,0;0,0;81,3;0,0;0,2;5,9;0,9;0,2;65,0;2,7;3,8;;;;;;;;
;;;;Promedio;150;0,51;14,37;6,85;2,32;2,54;0,69;94,94;0,00;0,00;0,00;8,67;147,20;53,99;217,51;14,98;3,46;7,22;0,18;0,04;16,21;0,11;2,73;1,94;533,79;0,20;0,41;4,57;7,32;0,29;47,33;5,05;4,65;;;;;;;;
P1;70;Bagre;125;1/4 libra;230;0,0;23,6;14,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;250,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;2,5;0,0;0,0;0,0;0,0;0,0;Aprobado;;;;;;;
P2;71;Atun fresco;160;1/2 unidad pequeña;230;0,0;37,2;7,8;2,0;2,6;2,3;60,7;0,0;0,0;0,0;12,8;405,7;62,3;402,5;79,9;1,6;1,0;0,1;0,0;58,3;1,6;0,0;0,0;1046,2;0,4;0,4;13,9;1,7;0,7;3,2;15,1;0,0;;;;;;;;
P3;72;Merluza;265;1 unidad pequeña;230;0,0;50,0;1,9;0,3;0,3;0,6;150,7;0,0;0,0;0,0;87,2;497,0;179,8;822,2;103,1;2,9;1,0;0,1;0,1;79,8;1,0;0,0;0,0;44,9;0,1;0,1;10,1;0,3;0,8;31,7;3,2;0,0;;;;;;;;
P4;73;Pargo, especies mezcladas;230;1/2 libra;230;0,0;47,2;3,0;0,7;0,6;1,1;85,1;0,0;0,0;0,0;73,6;455,4;147,2;959,1;73,6;0,5;0,8;0,1;0,0;87,9;1,2;0,0;0,0;69,0;0,1;0,0;0,7;1,7;0,9;11,5;6,9;4,6;;;;;;;;
P5;74;Pescado de mar: cabrilla, robalo, pargo rojo;230;1/2 libra;230;0,0;47,2;3,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;50,6;460,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;6,4;0,0;0,0;0,0;0,0;0,0;;;;;;;;
P6;75;Pescado de rio. Bocachico, capaz, capitan, etc;230;1/2 libra;230;0,0;40,8;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;45,5;409,9;0,0;0,0;0,0;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;6,8;0,0;0,0;0,0;0,0;0,0;;;;;;;;
P7;76;Trucha arcoiris cultivada;170;1/2 unidad  ;230;0,0;34,8;9,0;2,6;2,6;3,0;98,3;0,0;0,0;0,0;111,7;470,0;58,3;751,7;53,3;0,5;0,7;0,1;0,0;21,0;0,1;0,0;0,0;140,0;0,3;0,1;13,7;2,4;1,0;18,3;6,3;5,0;;;;;;;;
P8;77;Trucha arcoiris en medio natural;195;1/2 unidad grande;230;0,0;39,6;6,8;1,4;2,2;2,4;114,0;0,0;0,0;0,0;129,5;523,8;59,9;929,7;59,9;1,4;2,1;0,2;0,3;24,4;0,4;0,0;0,0;36,7;0,2;0,2;10,4;1,8;0,8;23,2;8,6;3,9;;;;;;;;
P9;78;Almeja especies mezcladas;310;12 unidades;230;8,1;39,8;3,1;0,3;0,3;0,9;105,7;0,0;0,0;0,0;143,0;525,3;174,1;976,0;28,0;43,5;4,3;1,1;1,6;75,5;3,1;0,3;12,4;279,7;0,3;0,7;5,6;1,1;0,2;0,5;153,7;40,4;;;;;;;;
P10;79;Calamar especies mezcladas;250;1/2 libra;230;7,8;39,0;3,5;0,9;0,3;1,3;582,5;0,0;0,0;0,0;80,0;552,5;110,0;615,0;82,5;1,8;3,8;4,7;0,1;112,0;3,0;0,0;0,0;25,0;0,1;1,0;5,5;1,3;0,2;12,5;3,3;12,5;;;;;;;;
P11;80;Camaron especies mezcladas;215;7 onzas;230;2,0;44,1;3,7;0,7;0,5;1,5;329,8;0,0;0,0;0,0;112,8;444,8;321,1;401,4;80,3;5,2;2,4;0,6;0,1;82,5;1,8;8,3;329,8;117,2;0,1;0,1;5,6;0,6;0,2;6,5;2,5;4,3;;;;;;;;
P12;81;Langostino especies mezcladas medio natural;300;10 unidades;230;0,0;47,8;3,0;0,5;0,5;0,9;340,5;0,0;0,0;0,0;80,7;764,7;173,3;902,1;80,7;2,4;3,9;1,3;0,7;94,4;8,5;0,0;0,0;47,8;0,2;0,1;6,6;1,6;0,3;110,5;6,0;3,0;;;;;;;;
P13;82;Langostino especies mezcladas cultivadas;320;11 unidades;230;0,0;47,6;3,2;0,5;0,6;1,0;341,8;0,0;0,0;0,0;79,9;696,4;198,1;833,8;95,8;1,9;3,2;0,8;0,5;90,7;0,0;0,0;0,0;47,9;0,2;0,1;6,1;1,8;0,3;95,8;6,7;3,2;;;;;;;;
P14;83;Ostras del pacifico;285;9 y 1/2 onzas;230;14,2;27,0;6,5;1,5;1,0;2,5;142,0;0,0;0,0;0,0;22,7;460,0;301,0;477,0;62,5;14,5;47,2;4,5;1,8;218,6;2,4;22,7;908,6;230,0;0,2;0,7;5,7;1,4;0,1;28,4;45,4;22,7;;;;;;;;
P15;84;Ostras del Oriente(medio natural);340;3/4 de libra;230;13,2;24,0;8,5;2,6;1,1;3,3;179,3;0,0;0,0;0,0;152,2;456,6;713,7;527,7;159,0;22,7;307,2;15,1;1,3;0,0;0,0;0,0;0,0;101,5;0,3;0,3;4,7;0,6;0,2;33,8;65,8;13,5;;;;;;;;
;;;;Promedio;230;3,01;39,30;5,57;0,93;0,83;1,38;168,69;0,00;0,00;0,00;80,48;491,47;166,58;573,20;63,90;6,82;25,17;1,90;0,43;63,01;1,54;2,09;83,39;145,73;0,18;0,29;6,95;1,10;0,38;25,07;21,56;7,54;;;;;;;;
PC1;85;Salchicha Frankfurt de res;40;1 unidad pequeña;126;0,72;4,80;11,40;4,82;5,45;0,55;24,40;0,00;0,00;0,00;8,00;34,80;410,40;66,40;1,20;0,56;0,87;0,02;0,01;5,52;0,08;0,36;14,40;0,00;0,02;0,00;0,96;0,12;0,05;1,60;0,62;0,00;Revisado;;;;;;;
PC2;86;Chorizos;40;1 unidad grande;126;0,00;8,29;10,06;4,98;5,27;1,01;29,23;0,00;0,00;0,00;11,27;41,46;925,88;72,46;10,30;2,70;1,20;0,00;0,00;8,49;0,00;0,00;0,00;0,00;0,05;0,11;1,01;0,00;0,14;0,90;0,90;0,00;;;;;;;;
PC3;87;Jamon magro;80;2,5 lonjas;126;1,79;14,23;6,53;2,10;3,06;0,72;41,22;0,00;0,00;0,00;5,44;183,56;994,00;231,00;14,00;0,70;1,59;0,07;0,02;0,00;0,06;0,00;0,00;0,00;0,69;0,19;3,97;0,35;0,30;2,33;0,62;21,00;;;;;;;;
PC4;88;Jamon de pollo;80;2,5 lonjas;126;0,00;15,45;5,86;1,60;2,35;1,27;39,62;0,00;0,00;0,00;34,08;124,42;462,79;180,68;15,06;0,79;0,57;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,10;4,20;0,00;0,00;0,00;0,00;0,00;;;;;;;;
PC5;89;Longaniza;30;1 trozo pequeño;126;0,37;3,77;12,04;3,32;0,46;1,44;27,33;0,00;0,00;0,00;124,15;32,43;399,09;111,65;3,18;1,05;0,78;6,52;0,00;6,52;0,09;0,00;0,00;0,00;0,08;0,06;0,90;0,00;0,04;0,28;0,28;0,00;;;;;;;;
PC6;90;Morcilla;80;1 unidad mediana;126;0,71;14,42;6,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,51;39,62;0,00;180,68;15,06;35,58;0,57;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,10;4,20;0,00;0,00;0,00;0,00;0,00;;;;;;;;
PC7;91;Mortadela de res y cerdo;40;2 unidades;126;1,26;6,64;10,29;3,85;4,61;1,26;22,69;0,00;0,00;0,00;7,29;39,30;504,81;0,00;0,00;0,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,06;0,90;0,00;0,00;0,00;0,00;0,00;;;;;;;;
PC8;92;Salchicha de res;40;1 unidad pequeña;126;0,97;5,69;10,86;4,62;5,24;0,42;27,06;0,00;0,00;0,00;2,83;42,40;456,75;0,00;0,00;0,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,04;1,27;0,00;0,00;0,00;0,00;0,00;;;;;;;;
PC9;93;Salchicha Frankfurt de pollo;50;1 unidad grande;126;3,33;6,32;9,56;2,72;4,16;1,98;49,52;0,00;0,00;0,00;46,58;52,46;671,67;66,04;4,46;0,98;0,85;0,02;0,01;9,16;0,09;0,00;0,00;0,00;0,05;0,06;1,09;0,18;0,05;1,22;0,60;0,00;;;;;;;;
PC10;95;Salchica tipo viena de res y cerdo enlatada;45;2 unidades;126;0,90;4,65;11,38;4,19;5,67;0,76;23,48;0,00;0,00;0,00;4,52;22,13;430,39;71,08;5,25;0,41;1,13;0,03;0,00;5,90;0,00;0,00;0,00;0,00;0,02;0,06;1,29;0,08;0,04;1,62;0,75;0,00;;;;;;;;
PC11;96;Salchichon comun;30;2 rodajas;126;0,34;6,66;10,67;3,00;3,73;0,69;15,23;0,00;0,00;0,00;3,92;79,24;1019,29;41,18;4,90;1,01;0,51;0,02;0,01;0,00;0,00;0,00;0,00;18,63;0,03;0,06;1,52;0,41;0,16;1,96;0,12;0,00;;;;;;;;
PC12;97;Salami cervecero de res, ahumado;40;4 rodajas finas o delgadas;126;0,65;4,75;11,45;4,99;5,37;0,43;23,36;0,00;0,00;0,00;3,45;37,15;393,7;65,76;3,94;0,57;0,72;0,03;0,01;5,43;0,1;0,35;14,18;0;0,08;0,05;1,02;0,14;0,05;1,58;0,51;0,00;;;;;;;;
;;;;Promedio;126;0,92;7,97;9,74;3,35;3,78;0,88;26,93;0,00;0,00;0,00;21,75;60,75;555,73;90,58;6,45;3,80;0,73;0,56;0,01;3,42;0,04;0,06;2,38;1,55;0,10;0,07;1,86;0,11;0,07;0,96;0,37;1,75;;;;;;;;
EN1;98;Atun enlatado en agua;50;1/4 de lata mediano;58;0,00;12,75;0,40;0,12;0,08;0,17;15,00;0,00;0,00;0,00;5,50;81,50;169,00;118,50;13,50;0,75;0,39;0,03;0,01;40,20;0,27;0,00;0,00;8,50;0,02;0,04;6,65;0,11;0,18;2,00;1,50;0,00;Revisado;;;;;;;
EN2;99;Atun enlatado en aceite;30;1/2 lata mediana;58;0,00;8,73;2,46;0,46;0,89;0,87;5,40;0,00;0,00;0,00;3,90;93,30;106,20;62,10;9,30;0,42;0,27;0,02;0,01;22,80;0,36;1,77;70,80;6,90;0,01;0,04;3,72;0,11;0,03;1,50;0,66;0,00;;;;;;;;
EN3;100;Sardinas;30;1 unidad pequeña;58;0,00;7,38;3,45;0,46;1,16;1,55;42,60;0,00;0,00;0,00;114,60;147,00;27,00;98,10;11,70;0,87;0,39;0,06;0,03;15,81;0,09;2,04;81,60;20,10;0,02;0,07;1,56;0,19;0,05;3,60;2,68;0,00;;;;;;;;
;;;;Promedio;58;0,00;9,62;2,10;0,35;0,71;0,86;21,00;0,00;0,00;0,00;41,33;107,27;100,73;92,90;11,50;0,68;0,35;0,04;0,02;26,27;0,24;1,27;50,80;11,83;0,02;0,05;3,98;0,14;0,09;2,37;1,61;0,00;;;;;;;;
LEGF1;101;Arveja verde tierna;50;3 cucharadas soperas  ;24;4,35;1,62;0,12;0,02;0,01;0,06;0,00;0,66;1,02;1,68;7,50;32,40;1,50;73,20;9,90;0,45;0,37;0,05;0,12;0,54;0,12;8,40;0,00;19,20;0,08;0,04;0,63;0,03;0,05;19,50;0,00;12,00;Revisado;;;;;;;
LEGF2;102;Arveja verde enlatada solidos;30;1/2 pocillo;24;4,41;1,54;0,14;0,00;0,01;0,06;0,00;0,00;0,00;1,44;7,00;23,45;88,20;60,55;5,95;0,35;0,25;0,03;0,11;0,60;0,13;0,00;0,00;26,95;0,04;0,03;0,25;0,05;0,02;15,40;0,00;3,50;;;;;;;;
LEGF3;103;Soya verde;30;1/2 pocillo;24;1,67;1,95;1,02;0,12;0,19;0,48;0,00;0,00;0,00;0,56;29,55;29,10;2,25;93,00;9,75;0,54;0,15;0,02;0,08;0,23;0,00;0,00;0,00;2,70;0,07;0,03;0,26;0,02;0,01;24,75;0,00;4,35;;;;;;;;
LEGF4;104;Frijol verde;35;1/2 pocillo;24;4,08;1,58;0,08;0,01;0,01;0,04;0,00;0,27;0,00;0,27;10,05;33,00;13,80;113,40;9,00;0,50;0,12;0,02;0,08;0,23;0,00;0,00;0,00;0,60;0,06;0,01;0,21;0,05;0,03;7,50;0,00;2,40;;;;;;;;
LEGF5;105;Haba verde;35;1/2 pocillo;24;4,10;1,96;0,21;0,05;0,01;0,11;0,00;1,58;0,00;1,58;7,70;33,25;17,50;87,50;13,30;0,70;0,20;0,02;0,11;0,42;0,00;0,00;0,00;12,25;0,10;0,05;0,53;0,03;0,01;33,60;0,00;7,00;;;;;;;;
;;;;Promedio;24;3,72;1,73;0,31;0,04;0,05;0,15;0,00;0,50;0,20;1,11;12,36;30,24;24,65;85,53;9,58;0,51;0,22;0,03;0,10;0,40;0,05;1,68;0,00;12,34;0,07;0,03;0,38;0,04;0,02;20,15;0,00;5,85;;;;;;;;
LEGS1;106;Arveja seca;40;4 cucharadas soperas;136;24,16;9,84;0,48;0,06;0,10;0,02;0,00;0,84;4,28;5,08;22,00;146,40;6,00;392,40;46,00;1,76;1,20;0,35;0,56;0,64;0,12;32,40;0,00;6,00;0,29;0,09;1,16;0,70;0,07;109,60;0,00;0,80;Revisado;;;;;;;
LEGS2;107;Frijol blanco pequeño;40;4 cucharadas soperas;136;24,92;8,44;0,48;0,12;0,04;0,02;0,00;2,04;5,24;7,28;69,20;178,00;4,80;616,80;73,20;3,08;1,12;0,26;0,51;5,12;0,00;0,00;0,00;0,00;0,30;0,08;0,52;0,29;0,29;154,40;0,00;0,00;;;;;;;;
LEGS3;108;Frijol cabecita negra;45;4,5 cucharadas soperas;136;25,47;9,72;0,59;0,15;0,05;0,24;0,00;0,00;0,00;4,77;36,45;178,20;7,20;500,40;82,80;2,57;1,52;0,38;0,69;4,05;0,18;0,00;0,00;2,25;0,38;10,35;0,95;0,68;0,68;284,85;0,00;0,90;;;;;;;;
LEGS4;109;Frijol cargamanto rojo;40;4 cucharadas soperas;136;24,04;9,20;0,48;0,13;0,04;0,21;0,00;0,00;0,00;9,88;50,80;148,80;2,40;532,80;62,40;2,00;1,45;0,32;0,37;5,08;0,00;0,00;0,00;0,00;0,30;0,08;0,60;0,30;0,30;241,60;0,00;0,00;;;;;;;;
LEGS5;110;Frijol guandul;50;5 cucharadas soperas;136;25,60;9,75;0,75;0,17;0,01;0,41;0,00;0,00;0,00;7,50;50,00;200,00;8,50;696,00;91,50;2,60;1,39;0,53;0,90;4,10;0,00;0,00;0,00;4,50;0,31;0,05;1,00;0,64;0,64;228,00;0,00;2,00;;;;;;;;
LEGS6;111;Frijol lima;40;4 cucharadas soperas;136;25,36;8,60;0,28;0,06;0,02;0,12;0,00;0,00;0,00;7,60;32,40;154,00;7,20;689,60;89,60;3,00;1,13;0,30;0,67;2,88;0,29;0,00;0,00;0,00;0,20;0,08;0,60;0,54;0,54;158,00;0,00;0,00;;;;;;;;
LEGS7;112;Frijol rojo;40;4 cucharadas soperas;136;24,52;9,00;0,44;0,06;0,03;0,24;0,00;0,00;0,00;6,08;33,20;162,40;4,80;543,60;55,20;2,68;1,12;0,28;0,44;1,28;0,08;0,00;0,00;0,40;0,24;0,09;0,84;0,31;0,31;157,60;0,00;2,00;;;;;;;;
LEGS8;113;Frijol rojo pequeño;40;4 cucharadas soperas;136;24,80;8,80;0,40;0,00;0,00;0,00;0,00;0,00;0,00;3,60;60,00;180,00;7,20;580,00;80,00;2,80;1,20;2,80;0,32;0,00;0,00;0,00;0,00;0,00;0,28;0,08;0,88;0,32;0,32;120,00;0,00;0,00;;;;;;;;
LEGS9;114;Frijol rosado;40;4 cucharadas soperas;136;25,68;8,40;0,44;0,12;0,04;0,20;0,00;0,00;0,00;5,08;52,00;166,00;3,20;585,60;72,80;2,72;1,02;0,32;0,55;5,20;0,04;0,00;0,00;0,00;0,31;0,08;0,76;0,40;0,40;181,20;0,00;0,00;;;;;;;;
LEGS10;115;Frijol todas las variedades;40;4 cucharadas soperas;136;24,00;9,44;0,32;0,05;0,02;0,18;0,00;0,00;0,00;9,96;57,20;162,80;9,60;562,40;56,00;3,28;1,12;0,38;0,41;1,28;0,00;0,00;0,00;0,40;0,21;0,09;0,84;0,31;0,31;157,60;0,00;2,00;;;;;;;;
LEGS11;116;Haba ;40;4 cucharadas soperas;136;23,32;10,44;0,60;0,10;0,12;0,25;0,00;0,00;0,00;10,00;41,20;168,40;5,20;424,80;76,80;2,68;1,26;0,33;0,65;3,28;0,04;0,00;0,00;2,00;0,22;0,13;1,12;0,39;0,15;169,20;0,00;0,40;;;;;;;;
LEGS12;117;Soya   ;35;3,5 cucharadas soperas;136;10,57;12,78;6,97;1,01;1,54;3,94;0,00;0,00;0,00;3,26;96,95;246,40;0,70;628,95;98,00;5,50;1,71;0,58;0,88;6,23;0,68;66,50;0,00;0,70;0,30;0,30;0,56;0,28;0,13;131,25;0,00;2,10;;;;;;;;
LEGS13;118;Garbanzo;40;4 cucharadas soperas;136;22,28;7,84;2,40;0,25;0,54;1,08;0,00;0,72;4,80;5,48;60,00;120,00;9,60;350,00;46,00;2,56;1,37;0,34;0,88;3,28;0,33;105,60;0,00;2,80;0,19;0,04;0,56;0,64;0,22;222,80;0,00;0,40;;;;;;;;
LEGS14;119;Lenteja;40;4 cucharadas soperas;136;22,84;11,24;0,40;0,06;0,06;0,18;0,00;0,64;5,56;6,18;20,40;181,60;4,00;362,00;42,80;3,60;1,44;0,34;0,57;3,28;0,13;105,60;0,00;1,60;1,90;0,10;1,04;0,74;0,22;173,20;0,00;2,40;;;;;;;;
;;;;Promedio;136;23,40;9,54;1,07;0,17;0,19;0,51;0,00;0,30;1,42;6,55;48,70;170,93;5,74;533,24;69,51;2,92;1,29;0,54;0,60;3,26;0,14;22,15;0,00;1,48;0,39;0,83;0,82;0,47;0,33;177,81;0,00;0,93;;;;;;;;
PLEG1;120;Leche de soya liquida;180;1 vaso de 6 onzas;59;3,24;5,04;3,42;0,38;0,59;0,15;0;0;0;2,34;7,2;88,2;21,6;253,8;34,2;1,08;0,41;0,22;0,31;2,34;0,02;0;0;5,4;0,29;0,13;0,18;0,09;0,07;3,6;0;0;Revisado;;;;;;;
PLEG2;121;Harina de soya;15;1 cucharada;59;3,52;3,45;2,07;0,3;0,46;1,17;0;0;0;0,96;20,6;49,4;1,3;251,5;42,9;0,64;0,39;0,29;0,23;0,75;0,2;0;0;1,2;0,06;0,12;0,43;0,16;0,05;34,5;0;0;;;;;;;;
PLEG3;122;Harina de soya desgrasada;15;1 cucharada;59;5,76;7,05;0,18;0,02;0,03;0,08;0;0;0;2,63;36,15;101,1;3;357,6;43,5;1,38;0,37;0,61;0,45;0,26;0,03;0;0;0,6;0,11;0,04;0,39;0,3;0,09;45,75;0;0;;;;;;;;
PLEG4;123;Bienestarina;20;1 cucharada;59;11,64;5,2;0,28;0;0;0;0;0;0;0,28;102,4;153,2;0;0;0;2,82;0;0;0;0;0;0;0;40;0,4;0,1;1,94;0;0;0;0;5,4;;;;;;;;
PLEG5;124;Fortisoya;15;1 cucharada;59;9,02;3,3;0,63;0;0;0;0;0;0;0;52,2;41,55;0;0;0;1,52;0;0;0;0;0;0;0;0,3;0,02;0,03;0,18;0;0;0;0;0,15;;;;;;;;
;;;;Promedio;59;6,64;4,81;1,32;0,14;0,22;0,28;0,00;0,00;0,00;1,24;43,71;86,69;5,18;172,58;24,12;1,49;0,23;0,22;0,20;0,67;0,05;0,00;0,00;9,50;0,18;0,08;0,62;0,11;0,04;16,77;0,00;1,11;;;;;;;;
FS1;125;Mani todo tipo;30;4 cucharadas soperas;170;4,83;7,74;14,76;2,05;7,33;4,67;0;0;0;2,55;27,6;112,8;0,65;211,5;50,4;1,38;0,98;0,34;0,58;2,16;2,74;0;0;0;0,19;0,04;36,3;0,53;0,11;72;0;0;Revisado ;;;;;;;
FS2;126;Almendras secas;30;3 cucharadas;170;5,55;6,12;15,75;1,49;10,23;3,31;0;0;0;0;74,1;159,6;3;225;85,8;1,08;0,95;0,32;0,44;1,41;7,2;0;0;0;0,05;0,2;0,96;0,14;0,03;11,4;0;0,3;;;;;;;;
FS3;127;Coco pulpa;50;3 y 1/2 cucharadas;170;7,6;1,65;16,75;14,85;0,72;0,19;0;0;0;4,5;7;56,5;10;178;16;1,2;0,55;0,22;0,75;5,05;0,37;0;0;0;0,04;0,01;0,25;0,15;0,03;13;0;1,5;;;;;;;;
FS4;128;Mani todo tipo seco tostado con sal;30;4 cucharadas soperas;170;6,45;7,11;14,91;2,07;7,39;4,71;0;0;0;2,4;16,2;107,4;243,9;1,97;52,8;0,69;0,99;0,2;0,62;0;0;0;0;0;0,13;0,03;4,05;0,42;0,08;43,5;0;0;;;;;;;;
FS5;129;Nuez del brasil;25;2 y 1/2 cucharadas;170;3,2;3,58;16,55;4,04;5,76;6,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
FS6;130;Pistachos sin cascara secos;30;3 cucharadas;170;7,44;6,18;14,64;1,84;9,8;2,2;0;0;0;3,24;40,5;150,9;1,8;327,9;47,4;2,04;0,4;0,36;0,1;1,92;1,56;0;0;6,9;0,25;0,05;0,33;0,36;0,08;17,4;0;2,1;;;;;;;;
;;;;Promedio;170;5,85;5,40;15,56;4,39;6,87;3,52;0,00;0,00;0,00;2,12;27,57;97,87;43,23;157,40;42,07;1,07;0,65;0,24;0,42;1,76;1,98;0,00;0,00;1,15;0,11;0,06;6,98;0,27;0,06;26,22;0,00;0,65;;;;;;;;
V1;131;Tomate rojo;60;1 unidad pequeña;13;2,76;0,54;0,18;0,03;0,03;0,08;0,00;0,24;0,42;0,66;3,00;14,40;5,40;133,20;6,60;0,30;0,05;0,04;0,07;0,24;0,23;13,80;0,00;37,20;0,04;0,03;0,36;0,15;0,05;9,00;0,00;11,40;Aprobado;;;;;;;
V2;132;Acelgas;70;1 pocillo chocolatero ;13;2,59;1,26;0,14;0,02;0,03;0,05;0,00;0,00;0,00;0,00;35,70;32,20;149,10;265,30;56,70;1,26;0,25;0,13;0,26;0,63;1,32;0,00;0,00;231,00;0,03;0,06;0,28;0,12;0,07;9,80;0,00;21,00;;;;;;;;
V3;133;Alcachofa(corazon);35;1/4 unidad pequeña;13;2,42;0,91;0,07;0,01;0,00;0,02;0,00;0,00;0,00;1,89;16,45;23,10;32,90;129,50;21,00;0,32;0,17;0,08;0,09;0,07;0,07;0,00;0,00;8,40;0,02;0,04;0,28;0,12;0,04;23,80;0,00;3,50;;;;;;;;
V4;134;Alfalfa germinada;45;1 taza;13;1,71;1,80;0,32;0,03;0,03;0,18;0,00;0,00;0,00;1,13;14,40;31,50;2,70;35,55;12,15;0,45;0,41;0,07;0,09;0,27;0,01;0,00;0,00;7,20;0,04;0,06;0,23;0,25;0,01;16,20;0,00;3,60;;;;;;;;
V5;135;Apio tallo;50;1 tallo grande;13;2,80;0,46;0,07;0,03;0,02;0,05;0,00;0,39;0,46;0,85;45,50;21,45;56,55;186,55;7,15;0,39;0,08;0,02;0,07;0,59;0,23;0,00;0,00;8,45;0,02;0,04;0,20;0,12;0,06;18,20;0,00;2,60;;;;;;;;
V6;136;Auyama o zapallo;35;1 trocito pequeño;13;3,08;0,53;0,07;0,02;0,01;0,03;0,00;0,28;0,00;0,28;10,85;11,20;1,40;122,50;7,35;0,21;0,05;0,02;0,06;0,14;0,04;0,00;0,00;142,10;0,04;0,01;0,28;0,14;0,03;7,70;0,00;4,20;;;;;;;;
V7;137;Chachafruto;20;4 unidades;13;2,66;0,80;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,20;15,60;0,00;0,00;0,00;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,01;0,18;0,00;0,00;0,00;0,00;3,00;;;;;;;;
V8;138;Berenjena;50;1/2 unidad pequeña;13;3,05;0,50;0,10;0,02;0,01;0,04;0,00;0,00;0,00;1,25;3,50;11,00;1,50;108,50;7,00;0,15;0,07;0,03;0,07;0,15;0,02;0,00;0,00;4,00;0,03;0,02;0,30;0,13;0,04;9,50;0,00;1,00;;;;;;;;
V9;139;Berro(hojas);120;Un manojo pequeño;13;1,56;2,76;0,12;0,04;0,01;0,05;0,00;0,96;1,20;2,16;144,00;72,00;49,20;396,00;25,20;0,24;0,13;0,10;0,29;1,08;1,20;0,00;0,00;564,00;0,11;0,14;0,24;0,37;0,16;10,80;0,00;51,60;;;;;;;;
V10;140;Brocoli;45;3 flores;13;2,34;1,35;0,18;0,02;0,01;0,08;0,00;0,59;0,77;1,35;21,60;29,70;12,15;146,25;11,25;0,41;0,18;0,02;0,10;1,35;0,75;0,00;0,00;69,30;0,03;0,05;0,27;0,24;0,07;31,95;0,00;41,85;;;;;;;;
V11;141;Calabaza;65;1 unidad pequeña;13;2,86;0,78;0,13;0,03;0,01;0,06;0,00;0,00;0,00;1,24;13,00;22,75;1,30;126,75;14,95;0,33;0,17;0,05;0,10;0,13;0,08;0,00;0,00;13,00;0,04;0,03;0,39;0,07;0,07;16,90;0,00;9,75;;;;;;;;
V12;142;Cebolla cabezona;35;1 unidad pequeña;13;3,01;0,42;0,07;0,01;0,01;0,02;0,00;0,04;0,56;0,60;7,00;11,55;1,05;54,95;3,50;0,07;0,07;0,02;0,05;0,21;0,05;0,18;0,00;0,00;0,01;0,01;0,07;0,04;0,04;6,65;0,00;2,10;;;;;;;;
